"AGE","GEO","SEX","TIME","CITIZEN","UNIT","Value","Flag and Footnotes"
"From 25 to 29 years","Euro area (18 countries)","Males","2014","Total","Percentage","16.2",""
"From 25 to 29 years","Euro area (18 countries)","Males","2015","Total","Percentage","15.0",""
"From 25 to 29 years","Euro area (18 countries)","Males","2016","Total","Percentage","13.4",""
"From 25 to 29 years","Euro area (18 countries)","Females","2005","Total","Percentage","12.1","b"
"From 25 to 29 years","Euro area (18 countries)","Females","2006","Total","Percentage","11.2",""
"From 25 to 29 years","Euro area (18 countries)","Females","2007","Total","Percentage","10.4",""
"From 25 to 29 years","Euro area (18 countries)","Females","2008","Total","Percentage","10.2",""
"From 25 to 29 years","Euro area (18 countries)","Females","2009","Total","Percentage","12.2",""
"From 25 to 29 years","Euro area (18 countries)","Females","2010","Total","Percentage","13.3",""
"From 25 to 29 years","Euro area (18 countries)","Females","2011","Total","Percentage","13.8",""
"From 25 to 29 years","Euro area (18 countries)","Females","2012","Total","Percentage","15.3",""
"From 25 to 29 years","Euro area (18 countries)","Females","2013","Total","Percentage","16.6",""
"From 25 to 29 years","Euro area (18 countries)","Females","2014","Total","Percentage","15.9",""
"From 25 to 29 years","Euro area (18 countries)","Females","2015","Total","Percentage","14.8",""
"From 25 to 29 years","Euro area (18 countries)","Females","2016","Total","Percentage","14.0",""
"From 25 to 29 years","Euro area (17 countries)","Total","2005","Total","Percentage","11.2","b"
"From 25 to 29 years","Euro area (17 countries)","Total","2006","Total","Percentage","10.3",""
"From 25 to 29 years","Euro area (17 countries)","Total","2007","Total","Percentage","9.4",""
"From 25 to 29 years","Euro area (17 countries)","Total","2008","Total","Percentage","9.6",""
"From 25 to 29 years","Euro area (17 countries)","Total","2009","Total","Percentage","12.6",""
"From 25 to 29 years","Euro area (17 countries)","Total","2010","Total","Percentage","13.6",""
"From 25 to 29 years","Euro area (17 countries)","Total","2011","Total","Percentage","13.9",""
"From 25 to 29 years","Euro area (17 countries)","Total","2012","Total","Percentage","15.5",""
"From 25 to 29 years","Euro area (17 countries)","Total","2013","Total","Percentage","16.9",""
"From 25 to 29 years","Euro area (17 countries)","Total","2014","Total","Percentage","16.1",""
"From 25 to 29 years","Euro area (17 countries)","Total","2015","Total","Percentage","14.9",""
"From 25 to 29 years","Euro area (17 countries)","Total","2016","Total","Percentage","13.7",""
"From 25 to 29 years","Euro area (17 countries)","Males","2005","Total","Percentage","10.4","b"
"From 25 to 29 years","Euro area (17 countries)","Males","2006","Total","Percentage","9.5",""
"From 25 to 29 years","Euro area (17 countries)","Males","2007","Total","Percentage","8.6",""
"From 25 to 29 years","Euro area (17 countries)","Males","2008","Total","Percentage","9.1",""
"From 25 to 29 years","Euro area (17 countries)","Males","2009","Total","Percentage","13.0",""
"From 25 to 29 years","Euro area (17 countries)","Males","2010","Total","Percentage","14.0",""
"From 25 to 29 years","Euro area (17 countries)","Males","2011","Total","Percentage","13.9",""
"From 25 to 29 years","Euro area (17 countries)","Males","2012","Total","Percentage","15.7",""
"From 25 to 29 years","Euro area (17 countries)","Males","2013","Total","Percentage","17.0",""
"From 25 to 29 years","Euro area (17 countries)","Males","2014","Total","Percentage","16.2",""
"From 25 to 29 years","Euro area (17 countries)","Males","2015","Total","Percentage","15.0",""
"From 25 to 29 years","Euro area (17 countries)","Males","2016","Total","Percentage","13.4",""
"From 25 to 29 years","Euro area (17 countries)","Females","2005","Total","Percentage","12.1","b"
"From 25 to 29 years","Euro area (17 countries)","Females","2006","Total","Percentage","11.2",""
"From 25 to 29 years","Euro area (17 countries)","Females","2007","Total","Percentage","10.4",""
"From 25 to 29 years","Euro area (17 countries)","Females","2008","Total","Percentage","10.2",""
"From 25 to 29 years","Euro area (17 countries)","Females","2009","Total","Percentage","12.2",""
"From 25 to 29 years","Euro area (17 countries)","Females","2010","Total","Percentage","13.2",""
"From 25 to 29 years","Euro area (17 countries)","Females","2011","Total","Percentage","13.8",""
"From 25 to 29 years","Euro area (17 countries)","Females","2012","Total","Percentage","15.3",""
"From 25 to 29 years","Euro area (17 countries)","Females","2013","Total","Percentage","16.7",""
"From 25 to 29 years","Euro area (17 countries)","Females","2014","Total","Percentage","16.0",""
"From 25 to 29 years","Euro area (17 countries)","Females","2015","Total","Percentage","14.8",""
"From 25 to 29 years","Euro area (17 countries)","Females","2016","Total","Percentage","14.1",""
"From 25 to 29 years","Belgium","Total","2005","Total","Percentage","10.4","b"
"From 25 to 29 years","Belgium","Total","2006","Total","Percentage","10.1",""
"From 25 to 29 years","Belgium","Total","2007","Total","Percentage","10.0",""
"From 25 to 29 years","Belgium","Total","2008","Total","Percentage","9.0",""
"From 25 to 29 years","Belgium","Total","2009","Total","Percentage","10.3",""
"From 25 to 29 years","Belgium","Total","2010","Total","Percentage","11.6",""
"From 25 to 29 years","Belgium","Total","2011","Total","Percentage","9.9","b"
"From 25 to 29 years","Belgium","Total","2012","Total","Percentage","11.1",""
"From 25 to 29 years","Belgium","Total","2013","Total","Percentage","11.5",""
"From 25 to 29 years","Belgium","Total","2014","Total","Percentage","11.9",""
"From 25 to 29 years","Belgium","Total","2015","Total","Percentage","11.4",""
"From 25 to 29 years","Belgium","Total","2016","Total","Percentage","10.8",""
"From 25 to 29 years","Belgium","Males","2005","Total","Percentage","10.3","b"
"From 25 to 29 years","Belgium","Males","2006","Total","Percentage","9.3",""
"From 25 to 29 years","Belgium","Males","2007","Total","Percentage","9.4",""
"From 25 to 29 years","Belgium","Males","2008","Total","Percentage","8.3",""
"From 25 to 29 years","Belgium","Males","2009","Total","Percentage","10.5",""
"From 25 to 29 years","Belgium","Males","2010","Total","Percentage","11.8",""
"From 25 to 29 years","Belgium","Males","2011","Total","Percentage","10.1","b"
"From 25 to 29 years","Belgium","Males","2012","Total","Percentage","10.7",""
"From 25 to 29 years","Belgium","Males","2013","Total","Percentage","11.8",""
"From 25 to 29 years","Belgium","Males","2014","Total","Percentage","13.6",""
"From 25 to 29 years","Belgium","Males","2015","Total","Percentage","12.5",""
"From 25 to 29 years","Belgium","Males","2016","Total","Percentage","11.1",""
"From 25 to 29 years","Belgium","Females","2005","Total","Percentage","10.6","b"
"From 25 to 29 years","Belgium","Females","2006","Total","Percentage","11.0",""
"From 25 to 29 years","Belgium","Females","2007","Total","Percentage","10.7",""
"From 25 to 29 years","Belgium","Females","2008","Total","Percentage","9.8",""
"From 25 to 29 years","Belgium","Females","2009","Total","Percentage","10.0",""
"From 25 to 29 years","Belgium","Females","2010","Total","Percentage","11.4",""
"From 25 to 29 years","Belgium","Females","2011","Total","Percentage","9.7","b"
"From 25 to 29 years","Belgium","Females","2012","Total","Percentage","11.5",""
"From 25 to 29 years","Belgium","Females","2013","Total","Percentage","11.2",""
"From 25 to 29 years","Belgium","Females","2014","Total","Percentage","10.1",""
"From 25 to 29 years","Belgium","Females","2015","Total","Percentage","10.2",""
"From 25 to 29 years","Belgium","Females","2016","Total","Percentage","10.4",""
"From 25 to 29 years","Bulgaria","Total","2005","Total","Percentage","11.0","b"
"From 25 to 29 years","Bulgaria","Total","2006","Total","Percentage","10.3",""
"From 25 to 29 years","Bulgaria","Total","2007","Total","Percentage","7.5",""
"From 25 to 29 years","Bulgaria","Total","2008","Total","Percentage","6.4","b"
"From 25 to 29 years","Bulgaria","Total","2009","Total","Percentage","8.1",""
"From 25 to 29 years","Bulgaria","Total","2010","Total","Percentage","12.7","b"
"From 25 to 29 years","Bulgaria","Total","2011","Total","Percentage","15.0","b"
"From 25 to 29 years","Bulgaria","Total","2012","Total","Percentage","15.9",""
"From 25 to 29 years","Bulgaria","Total","2013","Total","Percentage","17.6",""
"From 25 to 29 years","Bulgaria","Total","2014","Total","Percentage","14.4",""
"From 25 to 29 years","Bulgaria","Total","2015","Total","Percentage","10.7",""
"From 25 to 29 years","Bulgaria","Total","2016","Total","Percentage","9.9",""
"From 25 to 29 years","Bulgaria","Males","2005","Total","Percentage","10.7","b"
"From 25 to 29 years","Bulgaria","Males","2006","Total","Percentage","9.5",""
"From 25 to 29 years","Bulgaria","Males","2007","Total","Percentage","7.6",""
"From 25 to 29 years","Bulgaria","Males","2008","Total","Percentage","7.0","b"
"From 25 to 29 years","Bulgaria","Males","2009","Total","Percentage","7.8",""
"From 25 to 29 years","Bulgaria","Males","2010","Total","Percentage","13.9","b"
"From 25 to 29 years","Bulgaria","Males","2011","Total","Percentage","15.3","b"
"From 25 to 29 years","Bulgaria","Males","2012","Total","Percentage","16.7",""
"From 25 to 29 years","Bulgaria","Males","2013","Total","Percentage","17.0",""
"From 25 to 29 years","Bulgaria","Males","2014","Total","Percentage","14.7",""
"From 25 to 29 years","Bulgaria","Males","2015","Total","Percentage","11.4",""
"From 25 to 29 years","Bulgaria","Males","2016","Total","Percentage","11.2",""
"From 25 to 29 years","Bulgaria","Females","2005","Total","Percentage","11.2","b"
"From 25 to 29 years","Bulgaria","Females","2006","Total","Percentage","11.3",""
"From 25 to 29 years","Bulgaria","Females","2007","Total","Percentage","7.5",""
"From 25 to 29 years","Bulgaria","Females","2008","Total","Percentage","5.4","bu"
"From 25 to 29 years","Bulgaria","Females","2009","Total","Percentage","8.5",""
"From 25 to 29 years","Bulgaria","Females","2010","Total","Percentage","11.1","b"
"From 25 to 29 years","Bulgaria","Females","2011","Total","Percentage","14.6","b"
"From 25 to 29 years","Bulgaria","Females","2012","Total","Percentage","14.9",""
"From 25 to 29 years","Bulgaria","Females","2013","Total","Percentage","18.3",""
"From 25 to 29 years","Bulgaria","Females","2014","Total","Percentage","14.0",""
"From 25 to 29 years","Bulgaria","Females","2015","Total","Percentage","9.9",""
"From 25 to 29 years","Bulgaria","Females","2016","Total","Percentage","8.0",""
"From 25 to 29 years","Czech Republic","Total","2005","Total","Percentage","8.5","b"
"From 25 to 29 years","Czech Republic","Total","2006","Total","Percentage","6.6",""
"From 25 to 29 years","Czech Republic","Total","2007","Total","Percentage","5.2",""
"From 25 to 29 years","Czech Republic","Total","2008","Total","Percentage","4.1",""
"From 25 to 29 years","Czech Republic","Total","2009","Total","Percentage","8.2",""
"From 25 to 29 years","Czech Republic","Total","2010","Total","Percentage","9.4",""
"From 25 to 29 years","Czech Republic","Total","2011","Total","Percentage","7.9","b"
"From 25 to 29 years","Czech Republic","Total","2012","Total","Percentage","8.9",""
"From 25 to 29 years","Czech Republic","Total","2013","Total","Percentage","8.1",""
"From 25 to 29 years","Czech Republic","Total","2014","Total","Percentage","7.4",""
"From 25 to 29 years","Czech Republic","Total","2015","Total","Percentage","6.7",""
"From 25 to 29 years","Czech Republic","Total","2016","Total","Percentage","5.5",""
"From 25 to 29 years","Czech Republic","Males","2005","Total","Percentage","6.3","b"
"From 25 to 29 years","Czech Republic","Males","2006","Total","Percentage","5.5",""
"From 25 to 29 years","Czech Republic","Males","2007","Total","Percentage","4.2",""
"From 25 to 29 years","Czech Republic","Males","2008","Total","Percentage","3.4",""
"From 25 to 29 years","Czech Republic","Males","2009","Total","Percentage","7.5",""
"From 25 to 29 years","Czech Republic","Males","2010","Total","Percentage","8.8",""
"From 25 to 29 years","Czech Republic","Males","2011","Total","Percentage","6.8","b"
"From 25 to 29 years","Czech Republic","Males","2012","Total","Percentage","8.1",""
"From 25 to 29 years","Czech Republic","Males","2013","Total","Percentage","7.9",""
"From 25 to 29 years","Czech Republic","Males","2014","Total","Percentage","6.7",""
"From 25 to 29 years","Czech Republic","Males","2015","Total","Percentage","6.2",""
"From 25 to 29 years","Czech Republic","Males","2016","Total","Percentage","4.1",""
"From 25 to 29 years","Czech Republic","Females","2005","Total","Percentage","11.7","b"
"From 25 to 29 years","Czech Republic","Females","2006","Total","Percentage","8.1",""
"From 25 to 29 years","Czech Republic","Females","2007","Total","Percentage","6.7",""
"From 25 to 29 years","Czech Republic","Females","2008","Total","Percentage","5.0",""
"From 25 to 29 years","Czech Republic","Females","2009","Total","Percentage","9.2",""
"From 25 to 29 years","Czech Republic","Females","2010","Total","Percentage","10.2",""
"From 25 to 29 years","Czech Republic","Females","2011","Total","Percentage","9.4","b"
"From 25 to 29 years","Czech Republic","Females","2012","Total","Percentage","10.0",""
"From 25 to 29 years","Czech Republic","Females","2013","Total","Percentage","8.4",""
"From 25 to 29 years","Czech Republic","Females","2014","Total","Percentage","8.5",""
"From 25 to 29 years","Czech Republic","Females","2015","Total","Percentage","7.4",""
"From 25 to 29 years","Czech Republic","Females","2016","Total","Percentage","7.4",""
"From 25 to 29 years","Denmark","Total","2005","Total","Percentage","5.5","b"
"From 25 to 29 years","Denmark","Total","2006","Total","Percentage","5.1",""
"From 25 to 29 years","Denmark","Total","2007","Total","Percentage","4.6",""
"From 25 to 29 years","Denmark","Total","2008","Total","Percentage","3.4",""
"From 25 to 29 years","Denmark","Total","2009","Total","Percentage","8.0",""
"From 25 to 29 years","Denmark","Total","2010","Total","Percentage","10.6",""
"From 25 to 29 years","Denmark","Total","2011","Total","Percentage","11.0",""
"From 25 to 29 years","Denmark","Total","2012","Total","Percentage","11.0",""
"From 25 to 29 years","Denmark","Total","2013","Total","Percentage","10.0",""
"From 25 to 29 years","Denmark","Total","2014","Total","Percentage","9.5",""
"From 25 to 29 years","Denmark","Total","2015","Total","Percentage","8.7",""
"From 25 to 29 years","Denmark","Total","2016","Total","Percentage","9.4","b"
"From 25 to 29 years","Denmark","Males","2005","Total","Percentage","5.9","b"
"From 25 to 29 years","Denmark","Males","2006","Total","Percentage","4.3",""
"From 25 to 29 years","Denmark","Males","2007","Total","Percentage","4.1",""
"From 25 to 29 years","Denmark","Males","2008","Total","Percentage","3.3",""
"From 25 to 29 years","Denmark","Males","2009","Total","Percentage","9.2",""
"From 25 to 29 years","Denmark","Males","2010","Total","Percentage","11.7",""
"From 25 to 29 years","Denmark","Males","2011","Total","Percentage","10.0",""
"From 25 to 29 years","Denmark","Males","2012","Total","Percentage","11.2",""
"From 25 to 29 years","Denmark","Males","2013","Total","Percentage","8.5",""
"From 25 to 29 years","Denmark","Males","2014","Total","Percentage","9.1",""
"From 25 to 29 years","Denmark","Males","2015","Total","Percentage","8.0",""
"From 25 to 29 years","Denmark","Males","2016","Total","Percentage","8.0","b"
"From 25 to 29 years","Denmark","Females","2005","Total","Percentage","5.0","b"
"From 25 to 29 years","Denmark","Females","2006","Total","Percentage","6.1",""
"From 25 to 29 years","Denmark","Females","2007","Total","Percentage","5.1",""
"From 25 to 29 years","Denmark","Females","2008","Total","Percentage","3.6",""
"From 25 to 29 years","Denmark","Females","2009","Total","Percentage","6.7",""
"From 25 to 29 years","Denmark","Females","2010","Total","Percentage","9.4",""
"From 25 to 29 years","Denmark","Females","2011","Total","Percentage","12.0",""
"From 25 to 29 years","Denmark","Females","2012","Total","Percentage","10.8",""
"From 25 to 29 years","Denmark","Females","2013","Total","Percentage","11.7",""
"From 25 to 29 years","Denmark","Females","2014","Total","Percentage","10.0",""
"From 25 to 29 years","Denmark","Females","2015","Total","Percentage","9.4",""
"From 25 to 29 years","Denmark","Females","2016","Total","Percentage","11.0","b"
"From 25 to 29 years","Germany (until 1990 former territory of the FRG)","Total","2005","Total","Percentage","12.5","b"
"From 25 to 29 years","Germany (until 1990 former territory of the FRG)","Total","2006","Total","Percentage","11.5",""
"From 25 to 29 years","Germany (until 1990 former territory of the FRG)","Total","2007","Total","Percentage","9.9",""
"From 25 to 29 years","Germany (until 1990 former territory of the FRG)","Total","2008","Total","Percentage","8.4",""
"From 25 to 29 years","Germany (until 1990 former territory of the FRG)","Total","2009","Total","Percentage","9.3",""
"From 25 to 29 years","Germany (until 1990 former territory of the FRG)","Total","2010","Total","Percentage","8.4","b"
"From 25 to 29 years","Germany (until 1990 former territory of the FRG)","Total","2011","Total","Percentage","6.9","b"
"From 25 to 29 years","Germany (until 1990 former territory of the FRG)","Total","2012","Total","Percentage","6.5",""
"From 25 to 29 years","Germany (until 1990 former territory of the FRG)","Total","2013","Total","Percentage","6.7",""
"From 25 to 29 years","Germany (until 1990 former territory of the FRG)","Total","2014","Total","Percentage","6.1",""
"From 25 to 29 years","Germany (until 1990 former territory of the FRG)","Total","2015","Total","Percentage","5.8",""
"From 25 to 29 years","Germany (until 1990 former territory of the FRG)","Total","2016","Total","Percentage","5.3",""
"From 25 to 29 years","Germany (until 1990 former territory of the FRG)","Males","2005","Total","Percentage","13.6","b"
"From 25 to 29 years","Germany (until 1990 former territory of the FRG)","Males","2006","Total","Percentage","12.3",""
"From 25 to 29 years","Germany (until 1990 former territory of the FRG)","Males","2007","Total","Percentage","10.4",""
"From 25 to 29 years","Germany (until 1990 former territory of the FRG)","Males","2008","Total","Percentage","8.8",""
"From 25 to 29 years","Germany (until 1990 former territory of the FRG)","Males","2009","Total","Percentage","10.7",""
"From 25 to 29 years","Germany (until 1990 former territory of the FRG)","Males","2010","Total","Percentage","9.6","b"
"From 25 to 29 years","Germany (until 1990 former territory of the FRG)","Males","2011","Total","Percentage","7.8","b"
"From 25 to 29 years","Germany (until 1990 former territory of the FRG)","Males","2012","Total","Percentage","7.0",""
"From 25 to 29 years","Germany (until 1990 former territory of the FRG)","Males","2013","Total","Percentage","7.4",""
"From 25 to 29 years","Germany (until 1990 former territory of the FRG)","Males","2014","Total","Percentage","6.9",""
"From 25 to 29 years","Germany (until 1990 former territory of the FRG)","Males","2015","Total","Percentage","6.6",""
"From 25 to 29 years","Germany (until 1990 former territory of the FRG)","Males","2016","Total","Percentage","6.0",""
"From 25 to 29 years","Germany (until 1990 former territory of the FRG)","Females","2005","Total","Percentage","11.1","b"
"From 25 to 29 years","Germany (until 1990 former territory of the FRG)","Females","2006","Total","Percentage","10.6",""
"From 25 to 29 years","Germany (until 1990 former territory of the FRG)","Females","2007","Total","Percentage","9.4",""
"From 25 to 29 years","Germany (until 1990 former territory of the FRG)","Females","2008","Total","Percentage","7.9",""
"From 25 to 29 years","Germany (until 1990 former territory of the FRG)","Females","2009","Total","Percentage","7.8",""
"From 25 to 29 years","Germany (until 1990 former territory of the FRG)","Females","2010","Total","Percentage","7.0","b"
"From 25 to 29 years","Germany (until 1990 former territory of the FRG)","Females","2011","Total","Percentage","6.0","b"
"From 25 to 29 years","Germany (until 1990 former territory of the FRG)","Females","2012","Total","Percentage","5.9",""
"From 25 to 29 years","Germany (until 1990 former territory of the FRG)","Females","2013","Total","Percentage","5.9",""
"From 25 to 29 years","Germany (until 1990 former territory of the FRG)","Females","2014","Total","Percentage","5.3",""
"From 25 to 29 years","Germany (until 1990 former territory of the FRG)","Females","2015","Total","Percentage","4.9",""
"From 25 to 29 years","Germany (until 1990 former territory of the FRG)","Females","2016","Total","Percentage","4.5",""
"From 25 to 29 years","Estonia","Total","2005","Total","Percentage","8.0","b"
"From 25 to 29 years","Estonia","Total","2006","Total","Percentage","4.6","u"
"From 25 to 29 years","Estonia","Total","2007","Total","Percentage","4.4",""
"From 25 to 29 years","Estonia","Total","2008","Total","Percentage","5.2",""
"From 25 to 29 years","Estonia","Total","2009","Total","Percentage","15.0",""
"From 25 to 29 years","Estonia","Total","2010","Total","Percentage","17.7",""
"From 25 to 29 years","Estonia","Total","2011","Total","Percentage","13.7",""
"From 25 to 29 years","Estonia","Total","2012","Total","Percentage","10.8",""
"From 25 to 29 years","Estonia","Total","2013","Total","Percentage","10.0",""
"From 25 to 29 years","Estonia","Total","2014","Total","Percentage","9.2",""
"From 25 to 29 years","Estonia","Total","2015","Total","Percentage","6.0",""
"From 25 to 29 years","Estonia","Total","2016","Total","Percentage","7.6",""
"From 25 to 29 years","Estonia","Males","2005","Total","Percentage","7.8","bu"
"From 25 to 29 years","Estonia","Males","2006","Total","Percentage","4.7","u"
"From 25 to 29 years","Estonia","Males","2007","Total","Percentage","3.4","u"
"From 25 to 29 years","Estonia","Males","2008","Total","Percentage","3.6","u"
"From 25 to 29 years","Estonia","Males","2009","Total","Percentage","17.3",""
"From 25 to 29 years","Estonia","Males","2010","Total","Percentage","18.3",""
"From 25 to 29 years","Estonia","Males","2011","Total","Percentage","13.3",""
"From 25 to 29 years","Estonia","Males","2012","Total","Percentage","9.9",""
"From 25 to 29 years","Estonia","Males","2013","Total","Percentage","10.3",""
"From 25 to 29 years","Estonia","Males","2014","Total","Percentage","8.8",""
"From 25 to 29 years","Estonia","Males","2015","Total","Percentage","5.2","u"
"From 25 to 29 years","Estonia","Males","2016","Total","Percentage","8.0",""
"From 25 to 29 years","Estonia","Females","2005","Total","Percentage","8.2","bu"
"From 25 to 29 years","Estonia","Females","2006","Total","Percentage",":","u"
"From 25 to 29 years","Estonia","Females","2007","Total","Percentage","5.9","u"
"From 25 to 29 years","Estonia","Females","2008","Total","Percentage","7.5","u"
"From 25 to 29 years","Estonia","Females","2009","Total","Percentage","11.9",""
"From 25 to 29 years","Estonia","Females","2010","Total","Percentage","16.9",""
"From 25 to 29 years","Estonia","Females","2011","Total","Percentage","14.3",""
"From 25 to 29 years","Estonia","Females","2012","Total","Percentage","12.0",""
"From 25 to 29 years","Estonia","Females","2013","Total","Percentage","9.8",""
"From 25 to 29 years","Estonia","Females","2014","Total","Percentage","9.8",""
"From 25 to 29 years","Estonia","Females","2015","Total","Percentage","7.1",""
"From 25 to 29 years","Estonia","Females","2016","Total","Percentage","7.0","u"
"From 25 to 29 years","Ireland","Total","2005","Total","Percentage","4.5","b"
"From 25 to 29 years","Ireland","Total","2006","Total","Percentage","4.9",""
"From 25 to 29 years","Ireland","Total","2007","Total","Percentage","5.0","b"
"From 25 to 29 years","Ireland","Total","2008","Total","Percentage","7.3",""
"From 25 to 29 years","Ireland","Total","2009","Total","Percentage","14.7","b"
"From 25 to 29 years","Ireland","Total","2010","Total","Percentage","17.0",""
"From 25 to 29 years","Ireland","Total","2011","Total","Percentage","19.6",""
"From 25 to 29 years","Ireland","Total","2012","Total","Percentage","17.3",""
"From 25 to 29 years","Ireland","Total","2013","Total","Percentage","15.3",""
"From 25 to 29 years","Ireland","Total","2014","Total","Percentage","15.2",""
"From 25 to 29 years","Ireland","Total","2015","Total","Percentage","12.6",""
"From 25 to 29 years","Ireland","Total","2016","Total","Percentage","10.5",""
"From 25 to 29 years","Ireland","Males","2005","Total","Percentage","5.3","b"
"From 25 to 29 years","Ireland","Males","2006","Total","Percentage","5.4",""
"From 25 to 29 years","Ireland","Males","2007","Total","Percentage","5.8","b"
"From 25 to 29 years","Ireland","Males","2008","Total","Percentage","9.1",""
"From 25 to 29 years","Ireland","Males","2009","Total","Percentage","20.1","b"
"From 25 to 29 years","Ireland","Males","2010","Total","Percentage","22.7",""
"From 25 to 29 years","Ireland","Males","2011","Total","Percentage","25.8",""
"From 25 to 29 years","Ireland","Males","2012","Total","Percentage","22.4",""
"From 25 to 29 years","Ireland","Males","2013","Total","Percentage","19.2",""
"From 25 to 29 years","Ireland","Males","2014","Total","Percentage","18.5",""
"From 25 to 29 years","Ireland","Males","2015","Total","Percentage","15.5",""
"From 25 to 29 years","Ireland","Males","2016","Total","Percentage","12.8",""
"From 25 to 29 years","Ireland","Females","2005","Total","Percentage","3.6","b"
"From 25 to 29 years","Ireland","Females","2006","Total","Percentage","4.3",""
"From 25 to 29 years","Ireland","Females","2007","Total","Percentage","4.1","b"
"From 25 to 29 years","Ireland","Females","2008","Total","Percentage","5.3",""
"From 25 to 29 years","Ireland","Females","2009","Total","Percentage","8.7","b"
"From 25 to 29 years","Ireland","Females","2010","Total","Percentage","10.8",""
"From 25 to 29 years","Ireland","Females","2011","Total","Percentage","13.1",""
"From 25 to 29 years","Ireland","Females","2012","Total","Percentage","11.9",""
"From 25 to 29 years","Ireland","Females","2013","Total","Percentage","11.3",""
"From 25 to 29 years","Ireland","Females","2014","Total","Percentage","11.8",""
"From 25 to 29 years","Ireland","Females","2015","Total","Percentage","9.5",""
"From 25 to 29 years","Ireland","Females","2016","Total","Percentage","8.1",""
"From 25 to 29 years","Greece","Total","2005","Total","Percentage","15.1","b"
"From 25 to 29 years","Greece","Total","2006","Total","Percentage","14.0",""
"From 25 to 29 years","Greece","Total","2007","Total","Percentage","14.2",""
"From 25 to 29 years","Greece","Total","2008","Total","Percentage","13.1",""
"From 25 to 29 years","Greece","Total","2009","Total","Percentage","15.1","b"
"From 25 to 29 years","Greece","Total","2010","Total","Percentage","19.7",""
"From 25 to 29 years","Greece","Total","2011","Total","Percentage","29.4",""
"From 25 to 29 years","Greece","Total","2012","Total","Percentage","37.4",""
"From 25 to 29 years","Greece","Total","2013","Total","Percentage","43.3",""
"From 25 to 29 years","Greece","Total","2014","Total","Percentage","40.8",""
"From 25 to 29 years","Greece","Total","2015","Total","Percentage","36.7",""
"From 25 to 29 years","Greece","Total","2016","Total","Percentage","33.8",""
"From 25 to 29 years","Greece","Males","2005","Total","Percentage","9.9","b"
"From 25 to 29 years","Greece","Males","2006","Total","Percentage","9.7",""
"From 25 to 29 years","Greece","Males","2007","Total","Percentage","10.6",""
"From 25 to 29 years","Greece","Males","2008","Total","Percentage","9.8",""
"From 25 to 29 years","Greece","Males","2009","Total","Percentage","12.2","b"
"From 25 to 29 years","Greece","Males","2010","Total","Percentage","16.4",""
"From 25 to 29 years","Greece","Males","2011","Total","Percentage","26.1",""
"From 25 to 29 years","Greece","Males","2012","Total","Percentage","35.6",""
"From 25 to 29 years","Greece","Males","2013","Total","Percentage","40.8",""
"From 25 to 29 years","Greece","Males","2014","Total","Percentage","38.7",""
"From 25 to 29 years","Greece","Males","2015","Total","Percentage","33.3",""
"From 25 to 29 years","Greece","Males","2016","Total","Percentage","28.7",""
"From 25 to 29 years","Greece","Females","2005","Total","Percentage","21.4","b"
"From 25 to 29 years","Greece","Females","2006","Total","Percentage","19.3",""
"From 25 to 29 years","Greece","Females","2007","Total","Percentage","18.9",""
"From 25 to 29 years","Greece","Females","2008","Total","Percentage","17.1",""
"From 25 to 29 years","Greece","Females","2009","Total","Percentage","18.7","b"
"From 25 to 29 years","Greece","Females","2010","Total","Percentage","23.6",""
"From 25 to 29 years","Greece","Females","2011","Total","Percentage","33.5",""
"From 25 to 29 years","Greece","Females","2012","Total","Percentage","39.5",""
"From 25 to 29 years","Greece","Females","2013","Total","Percentage","46.3",""
"From 25 to 29 years","Greece","Females","2014","Total","Percentage","43.1",""
"From 25 to 29 years","Greece","Females","2015","Total","Percentage","40.7",""
"From 25 to 29 years","Greece","Females","2016","Total","Percentage","40.2",""
"From 25 to 29 years","Spain","Total","2005","Total","Percentage","11.0","b"
"From 25 to 29 years","Spain","Total","2006","Total","Percentage","10.1",""
"From 25 to 29 years","Spain","Total","2007","Total","Percentage","9.0",""
"From 25 to 29 years","Spain","Total","2008","Total","Percentage","13.3",""
"From 25 to 29 years","Spain","Total","2009","Total","Percentage","21.7",""
"From 25 to 29 years","Spain","Total","2010","Total","Percentage","24.7",""
"From 25 to 29 years","Spain","Total","2011","Total","Percentage","26.3",""
"From 25 to 29 years","Spain","Total","2012","Total","Percentage","31.5",""
"From 25 to 29 years","Spain","Total","2013","Total","Percentage","33.3",""
"From 25 to 29 years","Spain","Total","2014","Total","Percentage","30.3",""
"From 25 to 29 years","Spain","Total","2015","Total","Percentage","28.5",""
"From 25 to 29 years","Spain","Total","2016","Total","Percentage","25.6",""
"From 25 to 29 years","Spain","Males","2005","Total","Percentage","9.1","b"
"From 25 to 29 years","Spain","Males","2006","Total","Percentage","7.9",""
"From 25 to 29 years","Spain","Males","2007","Total","Percentage","7.5",""
"From 25 to 29 years","Spain","Males","2008","Total","Percentage","13.4",""
"From 25 to 29 years","Spain","Males","2009","Total","Percentage","23.3",""
"From 25 to 29 years","Spain","Males","2010","Total","Percentage","25.9",""
"From 25 to 29 years","Spain","Males","2011","Total","Percentage","27.2",""
"From 25 to 29 years","Spain","Males","2012","Total","Percentage","33.5",""
"From 25 to 29 years","Spain","Males","2013","Total","Percentage","34.5",""
